日期,数量
2019-10-18,955.61
2019-10-25,953.4
2019-11-01,963.01
2019-11-08,960.8
2019-11-15,954.47
2019-11-22,941.16
2019-11-29,938.95
2019-12-06,931.88
2019-12-13,932.34
2019-12-20,911.53
2019-12-27,901.02
2020-01-03,902.36
2020-01-10,905.12
2020-01-17,894.24
2020-01-24,884.97
2020-01-31,866.07
2020-02-07,861.5
2020-02-14,841.64
2020-02-21,819.93
2020-02-28,824.06
2020-03-06,830.74
2020-03-13,860.72
2020-03-20,877.54
2020-03-27,890.49
2020-04-03,901.85
2020-04-10,904.53
2020-04-17,898.65
2020-04-24,883.76
2020-05-01,883
2020-05-08,875.07
2020-05-15,870.69
2020-05-22,863.72
2020-05-29,856.67
2020-06-05,840.29
2020-06-12,830.67
2020-06-19,817.45
2020-06-26,798.01
2020-07-03,809.46
2020-07-10,815.1
2020-07-17,813.89
2020-07-24,802.91
2020-07-31,813.96
2020-08-07,802.92
2020-08-14,791.42
2020-08-21,788.89
2020-08-28,788.52
2020-09-04,779.68
2020-09-11,762.02
2020-09-18,751.73
2020-09-25,744.3
2020-10-02,733.62
2020-10-09,727.78
2020-10-16,716.91
