型号,brand,index_zol,price,OLED,IP,full screen,screen_size,back_cam_num,back_cam_1,back_cam_2,back_cam_3,back_cam_4,back_cam_5,front_cam_num,front_cam_1,front_cam_2,front_cam_3,front_cam_4,front_cam_5,CPU_brand,CPU,ram,rom,5G,dpi,ppi,device_length,device_width,device_thickness,fingerprint_type,release date,releaseY,releaseM,wireless_charge,battery vol
华为nova 7 Pro（8GB/128GB/5G版/全网通）,华为手机,1319765,3699,1,,1,6.57,4,6400,800,800,200,,2,3200,800,,,,海思,海思 麒麟985,8,128,1,2340x1080像素,,160.36,73.74,7.98,屏幕指纹 ,2020/04/23,2020,04,,4000
华为P40 Pro（8GB/128GB/全网通/5G版）,华为手机,1315874,5958,1,IP68,1,6.58,3,5000,4000,1200,,,1,3200,,,,,海思,海思 麒麟 990 5G,8,128,1,2640x1200像素,441ppi,158.2,72.6,8.95,屏幕指纹 ,2020/3/26,2020,3,1,4200
华为P40（6GB/128GB/全网通/5G版）,华为手机,1291831,4188,1,IP53,1,6.1,3,5000,1600,800,,,1,3200,,,,,海思,海思 麒麟 990 5G,6,128,1,2340x1080像素,422ppi,148.9,71.06,8.5,屏幕指纹 ,2020/3/26,2020,3,,3800
华为nova 7（8GB/128GB/5G版/全网通）,华为手机,1315404,2999,1,,1,6.53,4,6400,800,800,200,,1,3200,,,,,海思,海思 麒麟985,8,128,1,2400x1080像素,,160.64,74.33,7.96,屏幕指纹 ,2020/04/23,2020,04,,4000
华为Mate40（全网通/5G版）,华为手机,1326272,,1,,1,,1,10800,,,,,,,,,,,海思,海思 麒麟9000,,128,1,2640x1200像素,,,,,屏幕指纹 ,2020/>,2020,,,
华为畅享20 Pro（6GB/128GB/全网通/5G版）,华为手机,1327459,1968,0,,1,6.5,3,4800,800,200,,,1,1600,,,,,联发科,联发科 天玑800（MT6873）,6,128,1,2400x1080像素,405ppi,160,75.32,8.35,侧面指纹,2020/06/19,2020,06,,4000
华为nova 7 SE（8GB/128GB/5G版/全网通）,华为手机,1319769,2399,0,,1,6.5,4,6400,800,200,200,,1,1600,,,,,海思,海思 麒麟820,8,128,1,2400x1080像素,,162.31,75,8.58,侧面指纹,2020/04/23,2020,04,,4000
华为Mate30 Pro（8GB/256GB/全网通/5G版/玻璃版）,华为手机,1265181,6899,1,IP68,1,6.53,3,4000,4000,800,,,1,3200,,,,,海思,海思 麒麟 990 5G,8,256,1,2400x1176像素,,158.1,73.1,8.8,屏幕指纹 ,"国内：2019/09/26
国外：2019/09/19",2019,09,1,4500
华为Mate30（8GB/128GB/全网通/5G版/玻璃版）,华为手机,1238183,4499,1,IP53,1,6.62,3,4000,1600,800,,,1,2400,,,,,海思,海思 麒麟 990 5G,8,128,1,2340x1080像素,,160.8,76.1,8.4,屏幕指纹 ,"国内：2019/09/26
国外：2019/09/19",2019,09,1,4200
华为P30（8GB RAM/全网通）,华为手机,1212233,2788,1,IP53,1,6.1,3,4000,1600,800,,,1,3200,,,,,海思,海思 麒麟 980,8,64,,2340x1080像素,422ppi,149.1,71.36,7.57,屏幕指纹 ,2019/04/,2019,04,,3650
华为P30 Pro（8GB/128GB/全网通）,华为手机,1223829,3888,1,IP68,1,6.47,3,4000,2000,800,,,1,3200,,,,,海思,海思 麒麟 980,8,128,,2340x1080像素,398ppi,158,73.4,8.41,屏幕指纹 ,2019/04/,2019,04,1,4200
华为P40（8GB/128GB/全网通/5G版）,华为手机,1316635,4488,1,IP53,1,6.1,3,5000,1600,800,,,1,3200,,,,,海思,海思 麒麟 990 5G,8,128,1,2340x1080像素,422ppi,148.9,71.06,8.5,屏幕指纹 ,2020/3/26,2020,3,,3800
华为nova 6 5G（8GB/128GB/全网通）,华为手机,1298290,2898,0,,1,6.57,3,4000,800,800,,,2,3200,800,,,,海思,海思 麒麟990+巴龙5000,8,128,1,2400x1080像素,,162.7,75.8,8.98,侧面指纹,2019/12/05,2019,12,,4200
