年份,省份,城市,房价
2011,一线城市,北京,25166
2011,一线城市,上海,22665
2011,一线城市,天津,12732
2011,一线城市,重庆,6583
2011,安徽,合肥,6516
2011,福建,厦门,17538
2011,福建,福州,11031
2011,福建,泉州,8527
2011,甘肃,兰州,8347
2011,广东,深圳,17428
2011,广东,广州,14762
2011,广东,珠海,10764
2011,广东,东莞,6525
2011,广东,佛山,6176
2011,广东,惠州,5534
2011,广东,中山,5476
2011,广西,南宁,7434
2011,广西,桂林,5314
2011,贵州,贵阳,5487
2011,河北,秦皇岛,7820
2011,河北,唐山,7703
2011,河北,廊坊,7565
2011,河北,石家庄,7307
2011,河北,邯郸,6107
2011,河北,保定,5571
2011,黑龙江,哈尔滨,7527
2011,河南,郑州,6566
2011,河南,洛阳,5498
2011,湖北,武汉,7854
2011,湖北,宜昌,5899
2011,湖南,长沙,6781
2011,江苏,南京,14442
2011,江苏,苏州,10000
2011,江苏,南通,9986
2011,江苏,扬州,8275
2011,江苏,泰州,7777
2011,江苏,常州,7638
2011,江苏,无锡,7477
2011,江苏,昆山,7153
2011,江苏,徐州,6885
2011,江苏,镇江,6860
2011,江西,南昌,7640
2011,辽宁,大连,11115
2011,辽宁,沈阳,8105
2011,内蒙古,呼和浩特,7044
2011,宁夏,银川,5934
2011,陕西,西安,7184
2011,山东,青岛,12752
2011,山东,济南,8576
2011,山东,烟台,7633
2011,山东,潍坊,5000
2011,山东,威海,4973
2011,山西,太原,7374
2011,四川,成都,8477
2011,四川,绵阳,5382
2011,云南,昆明,8842
2011,浙江,杭州,19721
2011,浙江,宁波,15458
2011,浙江,绍兴,9642
2011,浙江,嘉兴,6872
2012,一线城市,北京,30158
2012,一线城市,上海,23428
2012,一线城市,天津,12793
2012,一线城市,重庆,6550
2012,安徽,合肥,6642
2012,福建,厦门,17185
2012,福建,福州,11750
2012,福建,泉州,8266
2012,甘肃,兰州,8065
2012,广东,深圳,19298
2012,广东,广州,16555
2012,广东,珠海,9455
2012,广东,东莞,6731
2012,广东,佛山,6003
2012,广东,惠州,5698
2012,广东,中山,4885
2012,广西,南宁,6822
2012,广西,桂林,5538
2012,贵州,贵阳,5123
2012,河北,秦皇岛,7797
2012,河北,石家庄,7723
2012,河北,廊坊,6983
2012,河北,唐山,6787
2012,河北,保定,6013
2012,河北,邯郸,6000
2012,黑龙江,哈尔滨,7000
2012,河南,郑州,6937
2012,河南,洛阳,5095
2012,湖北,武汉,7998
2012,湖北,宜昌,6407
2012,湖南,长沙,6539
2012,江苏,南京,14750
2012,江苏,苏州,10089
2012,江苏,南通,9408
2012,江苏,扬州,8366
2012,江苏,泰州,7975
2012,江苏,无锡,7336
2012,江苏,昆山,7075
2012,江苏,徐州,6833
2012,江苏,镇江,6578
2012,江苏,常州,5536
2012,江西,南昌,8123
2012,辽宁,大连,10540
2012,辽宁,沈阳,8030
2012,内蒙古,呼和浩特,6817
2012,宁夏,银川,5613
2012,陕西,西安,6704
2012,山东,青岛,11743
2012,山东,济南,8485
2012,山东,烟台,7671
2012,山东,威海,5648
2012,山东,潍坊,4947
2012,山西,太原,7625
2012,四川,成都,8450
2012,四川,绵阳,5025
2012,云南,昆明,8567
2012,浙江,杭州,18713
2012,浙江,宁波,15342
2012,浙江,绍兴,7268
2013,一线城市,北京,40342
2013,一线城市,上海,29978
2013,一线城市,天津,14519
2013,一线城市,重庆,6896
2013,安徽,合肥,7400
2013,福建,厦门,23124
2013,福建,福州,13841
2013,福建,泉州,8724
2013,甘肃,兰州,8716
2013,广东,深圳,24910
2013,广东,广州,19208
2013,广东,珠海,11365
2013,广东,东莞,7611
