model_clean_5G,index_zol,brand,五大品牌,五大品牌（拆分新红米、华为）,OLED,full_screen,back_cam_num,back_cam_1,back_cam_2,back_cam_3,back_cam_4,back_cam_5,front_cam_num,front_cam_1,front_cam_2,front_cam_3,front_cam_4,quick_charge,battery_vol,CPU_brand,CPU_model,ppi,IP,ram,rom,screen_perc,screen_size,wireless_charge,fingerprint_type,release_date,device_lenth,device_width,device_thickness,5G,release_Y,release_M,screen_area_m2,back_cam1主摄像素分布（组）,battery_vol（组）,ppi（组）,screen_perc（组）,front_cam1主摄像素分布（组）
夏普AQUOS mini SH-03H,1136461,夏普,其他,其他,0,1,1,1300,,,,,1,500,,,,0,2810,高通,高通 骁龙808（MSM8992）,,IP68,3,16,,4,0,,2016/7/1,,,,,2016,7,,1001-1300,2000-3000,,,0-500
努比亚N1,1148562,努比亚,其他,其他,0,0,1,1300,,,,,1,1300,,,,0,5000,联发科,联发科 Helio P10游戏体验 重掉帧(击败27.7%手机)手机性能排行,401,,3,64,,5,0,后置指纹,2016/7/1,,,,,2016,7,,1001-1300,4000-,401-500,,1001-1300
魅族魅蓝3,1148631,魅族,其他,其他,0,0,1,1300,,,,,1,500,,,,0,2870,联发科,联发科 MT6750,294,,2,16,0.701,5,0,,2016/7/1,,,,,2016,7,,1001-1300,2000-3000,201-300,70-80%,0-500
中兴小鲜4,1149630,中兴,其他,其他,0,0,1,1300,,,,,1,500,,,,0,2540,联发科,联发科 MT6753,424,,2,16,,5,0,后置指纹,2016/7/1,,,,,2016,7,,1001-1300,2000-3000,401-500,,0-500
中国移动N2,1148544,中国移动,其他,其他,0,0,1,1600,,,,,1,800,,,,0,4000,高通,高通 骁龙625（MSM8953）,401,,3,32,0.717,5,0,后置指纹,2016/7/1,,,,,2016,7,,1301-2000,3001-4000,401-500,70-80%,501-1000
华硕ZenFone 3 Max,1148828,华硕,其他,其他,0,0,1,1600,,,,,1,800,,,,0,4100,高通,高通 骁龙430,401,,3,32,,5,0,后置指纹,2016/7/1,,,,,2016,7,,1301-2000,4000-,401-500,,501-1000
8848 钛金手机M3,1150302,8848,其他,其他,0,0,1,2100,,,,,1,500,,,,1,3200,高通,高通 骁龙652（MSM8976）,441,,4,128,,5,0,,2016/7/1,,,,,2016,7,,2001-3999,3001-4000,401-500,,0-500
8848 钛金手机M3,1150311,8848,其他,其他,0,0,1,2100,,,,,1,500,,,,1,3200,高通,高通 骁龙652（MSM8976）,441,,4,128,,5,0,,2016/7/1,,,,,2016,7,,2001-3999,3001-4000,401-500,,0-500
黑莓DTEK50,1151203,黑莓,其他,其他,0,0,1,1300,,,,,1,800,,,,1,2610,高通,高通 骁龙617（MSM8952）更多高通 骁龙617（MSM8952）手机>，手机性能排行,424,,3,16,,5,0,,2016/7/1,,,,,2016,7,,1001-1300,2000-3000,401-500,,501-1000
8848 钛金手机M3,1208841,8848,其他,其他,0,0,1,2100,,,,,1,500,,,,1,3200,高通,高通 骁龙652（MSM8976）,441,,4,128,0.632,5,0,,2016/7/1,,,,,2016,7,,2001-3999,3001-4000,401-500,60-70%,0-500
SUGAR Y7,1150599,SUGAR,其他,其他,0,0,1,1300,,,,,1,800,,,,0,2820,高通,高通 骁龙410（MSM8916）,267,,2,16,0.676,5,0,,2016/7/1,,,,,2016,7,,1001-1300,2000-3000,201-300,60-70%,501-1000
长虹C06,1160420,长虹,其他,其他,0,0,1,500,,,,,1,200,,,,0,2000,联发科,联发科 MT6735P,294,,1,8,0.708,5,0,,2016/7/1,,,,,2016,7,,0-500,0-2000,201-300,70-80%,0-500
TCL 121,1157827,TCL,其他,其他,0,0,1,200,,,,,1,,,,,0,1400,其他,,167,,8,16,0.259,2,0,,2016/7/1,,,,,2016,7,,0-500,0-2000,0-200,-50%,
长虹W01,1160431,长虹,其他,其他,0,0,1,800,,,,,1,,,,,0,,其他,,294,,1,8,0.676,5,0,后置指纹,2016/7/1,,,,,2016,7,,501-1000,,201-300,60-70%,
长虹S08,1157895,长虹,其他,其他,0,0,1,500,,,,,1,,,,,0,1800,其他,,294,,1,8,,5,0,,2016/7/1,,,,,2016,7,,0-500,0-2000,201-300,,
