型号,brand,index_zol,price,OLED,IP,full_screen,screen_per,screen_size,back_cam_lst,back_cam_num,back_cam_1,back_cam_2,back_cam_3,back_cam_4,back_cam_5,front_cam_lst,front_cam_num,front_cam_1,front_cam_2,front_cam_3,front_cam_4,front_cam_5,CPU_brand,CPU,ram,rom,5G,dpi,ppi,size,device_length,device_width,device_thickness,fingerprint_type,release_date,releaseY,releaseM,wireless_charge,quick_charge,battery_vol
荣耀8（FRD-AL00/4GB RAM/全网通）参数,荣耀手机,1149191,,,,,72.15,5.2,双1200万像素高清级像素 样张秀>，高清像素手机>,1,1200,,,,,800万像素>普通级像素高像素自拍手机>,1,800,,,,,海思,海思 麒麟 950游戏体验 轻掉帧(击败56.56%手机)更多海思 麒麟 950手机>，手机性能排行>,4,32,,1920x1080,424ppi,145.5x71.0x7.45mm,145.5,71.0,7.45,后置指纹 ,2016年07月>,2016,07,,1,3000
华为麦芒5（MLA-AL00/标配版/全网通）参数,华为手机,1149485,,,,,72.57,5.5,1600万像素>高清级像素高清像素手机>,1,1600,,,,,800万像素>普通级像素高像素自拍手机>,1,800,,,,,高通,高通 骁龙625（MSM8953）更多高通 骁龙625（MSM8953）手机>，手机性能排行>,3,32,,1920x1080,401ppi,151.8x75.7x7.3mm,151.8,75.7,7.3,后置指纹 ,2016年07月21日,2016,07,,,3340
华为麦芒5（MLA-AL10/高配版/全网通）参数,华为手机,1148829,,,,,72.57,5.5,1600万像素>高清级像素高清像素手机>,1,1600,,,,,800万像素>普通级像素高像素自拍手机>,1,800,,,,,高通,高通 骁龙625（MSM8953）更多高通 骁龙625（MSM8953）手机>，手机性能排行>,4,64,,1920x1080,401ppi,151.8x75.7x7.3mm,151.8,75.7,7.3,后置指纹 ,2016年07月21日,2016,07,,,3340
联想VIBE P2（全网通）参数,联想手机,1151410,,1,,,71.72,5.5,1300万像素>高清级像素高清像素手机>,1,1300,,,,,500万像素>普通级像素高像素自拍手机>,1,500,,,,,高通,高通 骁龙625（MSM8953）更多高通 骁龙625（MSM8953）手机>，手机性能排行>,4,64,,1920x1080,401ppi,153x76x8.29mm,153,76,8.29,前置指纹 ,2016年08月>,2016,08,,,5100
小米红米Pro（尊享版/全网通）参数,小米手机,1144657,,1,,,72.24,5.5,"主：1300万像素
副：500万像素高清级像素 样张秀>，高清像素手机>",2,1300,500,,,,500万像素>普通级像素高像素自拍手机>,1,500,,,,,联发科,联发科 Helio X25（MT6797T）更多联发科 Helio X25（MT6797T）手机>，手机性能排行>,4,128,1,1920x1080,401ppi,151.5x76.2x8.15mm,151.5,76.2,8.15,前置指纹 ,2016年07月27日,2016,07,,,4050
海信E20-T（全网通）参数,海信手机,1158114,,,,,,5,1300万像素>高清级像素高清像素手机>,1,1300,,,,,,0,,,,,,,,2,16,1,1280x720,294ppi,,,,,,2016年07月>,2016,07,,,2320
荣耀8（FRD-AL00/3GB RAM/全网通）参数,荣耀手机,1147818,,,,,72.15,5.2,双1200万像素高清级像素 样张秀>，高清像素手机>,1,1200,,,,,800万像素>普通级像素高像素自拍手机>,1,800,,,,,海思,海思 Kirin 950手机性能排行>,3,32,,1920x1080,424ppi,145.5x71.0x7.45mm,145.5,71.0,7.45,后置指纹 ,2016年07月>,2016,07,,1,3000
OPPO R9s（全网通）参数,OPPO手机,1156279,,1,,,73.36,5.5,1600万像素>高清级像素 样张秀>，高清像素手机>,1,1600,,,,,1600万像素>高清级像素高像素自拍手机>,1,1600,,,,,高通,高通 骁龙625（MSM8953）游戏体验 重掉帧(击败42.57%手机)更多高通 骁龙625（MSM8953）手机>，手机性能排行>,4,64,,1920x1080,401ppi,153x74.3x6.58mm,153,74.3,6.58,前置指纹 ,2016年10月>,2016,10,,1,3010
华为Mate 9（MHA-AL00/6GB RAM/全网通）参数,华为手机,1159345,,,,,77.52,5.9,2000万像素+1200万像素高清级像素高清像素手机>,2,2000,1200,,,,800万像素>普通级像素高像素自拍手机>,1,800,,,,,海思,海思 kirin 960手机性能排行>,6,128,,1920x1080,373ppi,156.9x78.9x7.9mm,156.9,78.9,7.9,后置指纹 ,2016年11月>,2016,11,,,4000
三星GALAXY Note 7（N9300/全网通）参数,三星手机,1116686,,1,IP68,,78.96,5.7,1200万像素>高清级像素 样张秀>，高清像素手机>,1,1200,,,,,500万像素>普通级像素高像素自拍手机>,1,500,,,,,高通,高通 骁龙820（MSM8996）更多高通 骁龙820（MSM8996）手机>，手机性能排行>,4,64,1,2560x1440,515ppi,153.5x73.9x7.9mm,153.5,73.9,7.9,前置指纹 ,2016年09月>,2016,09,1,1,3500
