型号,brand,index_zol,price,OLED,IP,full_screen,screen_per,screen_size,back_cam_lst,back_cam_num,back_cam_1,back_cam_2,back_cam_3,back_cam_4,back_cam_5,front_cam_lst,front_cam_num,front_cam_1,front_cam_2,front_cam_3,front_cam_4,front_cam_5,CPU_brand,CPU,ram,rom,5G,dpi,ppi,size,device_length,device_width,device_thickness,fingerprint_type,release_date,releaseY,releaseM,wireless_charge,quick_charge,battery_vol
华为麦芒9（6GB/128GB/全网通/5G版）参数,华为手机,1331386,,,,1,90,6.8,6400万像素+800万像素+200万像素高清级像素高清像素手机>,3,6400,800,200,,,1600万像素>高清级像素高像素自拍手机>,1,1600,,,,,联发科,联发科 天玑800（MT6873）手机性能排行>,6,128,1,2400x1080,386ppi,170x78.5x8.9mm,170,78.5,8.9,侧面指纹 ,2020年08月,2020,08,,1,4300
华为nova 6 5G（8GB/128GB/全网通）参数,华为手机,1298290,,,,1,,6.57,4000万像素超感光镜头+800万像素长焦镜头+800万像素超广角镜头高清级像素高清像素手机>,3,4000,800,800,,,3200万像素自动对焦镜头+800万像素广角镜头高清级像素高像素自拍手机>,2,3200,800,,,,海思,海思 麒麟990+巴龙5000手机性能排行>,8,128,1,2400x1080,,162.7x75.8x8.98mm,162.7,75.8,8.98,侧面指纹 ,2019年12月12日,2019,12,,1,4200
华为P20（全网通）参数,华为手机,1175779,,,,1,80.34,5.8,2000万像素+1200万像素高清级像素 样张秀>，高清像素手机>,2,2000,1200,,,,2400万像素高清级像素高像素自拍手机>,1,2400,,,,,海思,海思 麒麟 970更多海思 麒麟 970手机>，手机性能排行>,6,64,,2244x1080,428ppi,149.1x70.8x7.65mm,149.1,70.8,7.65,前置指纹 ,2018年4月12日,2018,4,,,3400
华为畅享10（4GB/64GB/全网通）参数,华为手机,1295323,,,,1,90.15,6.39,4800万像素+200万像素高清级像素 样张秀>，高清像素手机>,2,4800,200,,,,800万像素>普通级像素高像素自拍手机>,1,800,,,,,海思,海思 麒麟 710F手机性能排行>,4,64,,1560x720,,159.81x76.13x8.13mm,159.81,76.13,8.13,,2019年10月18日,2019,10,,1,4000
华为P40（8GB/256GB/全网通/5G版）参数,华为手机,1316636,,1,IP53,1,,6.1,5000万像素超感知镜头+1600万像素超广角镜头+800万像素长焦镜头高清级像素高清像素手机>,3,5000,1600,800,,,3200万像素+红外摄像头高清级像素高像素自拍手机>,1,3200,,,,,海思,海思 麒麟 990 5G手机性能排行>,8,256,1,2340x1080,422ppi,148.9x71.06x8.5mm,148.9,71.06,8.5,屏幕指纹 ,2020年4月8日,2020,4,,1,3800
华为Mate30（6GB/128GB/全网通）参数,华为手机,1293875,,1,IP53,1,,6.62,4000万像素主摄镜头+1600万像素超广角镜头+800万像素长焦镜头高清级像素高清像素手机>,3,4000,1600,800,,,2400万像素高清级像素高像素自拍手机>,1,2400,,,,,海思,海思 麒麟 990手机性能排行>,6,128,,2340x1080,,160.8*76.1*8.4mm,160.8,76.1,8.4,屏幕指纹 ,2019年09月,2019,09,1,1,4200
华为nova 6 SE（8GB/128GB/全网通）参数,华为手机,1301506,,,,1,90.6,6.4,4800万像素超感光主摄+800万像素超广角镜头+200万像素背景虚化镜头+200万像素微距镜头高清级像素高清像素手机>,4,4800,800,200,200,,1600万像素>高清级像素高像素自拍手机>,1,1600,,,,,海思,海思 麒麟810手机性能排行>,8,128,1,2310x1080,398ppi,159.2x76.3x8.7mm,159.2,76.3,8.7,侧面指纹 ,2019年12月25日,2019,12,,1,4200
华为P40 Pro（8GB/128GB/全网通/5G版）参数,华为手机,1315874,,1,IP68,1,,6.58,5000万像素超感知镜头+4000万像素超广角镜头+1200万像素超感光长焦镜头+3D深感摄像头高清级像素高清像素手机>,4,5000,4000,1200,3,,3200万像素+景深摄像头高清级像素高像素自拍手机>,1,3200,,,,,海思,海思 麒麟 990 5G手机性能排行>,8,128,1,2640x1200,441ppi,158.2x72.6x8.95mm,158.2,72.6,8.95,屏幕指纹 ,2020年4月8日,2020,4,1,1,4200
华为nova 7（8GB/128GB/5G版/全网通）参数,华为手机,1315404,,1,,1,,6.53,6400万像素超感光镜头+800万像素超广角镜头+800万像素长焦镜头+200万像素微距镜头高清级像素高清像素手机>,4,6400,800,800,200,,3200万像素高清级像素高像素自拍手机>,1,3200,,,,,海思,海思 麒麟985手机性能排行>,8,128,1,2400x1080,,160.64x74.33x7.96mm,160.64,74.33,7.96,屏幕指纹 ,2020年04月28日,2020,04,,1,4000
华为nova 7（8GB/256GB/5G版/全网通）参数,华为手机,1320707,,1,,1,,6.53,6400万像素超感光镜头+800万像素超广角镜头+800万像素长焦镜头+200万像素微距镜头高清级像素高清像素手机>,4,6400,800,800,200,,3200万像素高清级像素高像素自拍手机>,1,3200,,,,,海思,海思 麒麟985手机性能排行>,8,256,1,2400x1080,,160.64x74.33x7.96mm,160.64,74.33,7.96,屏幕指纹 ,2020年04月28日,2020,04,,1,4000
