机型,日期,销量,月份,周数,index
360 手机N7 Lite,1.1-1.5,165,1,1,1213117
360 手机N7 Lite,1.6-1.12,154,1,2,1213117
360 手机N7 Lite,1.13-1.19,137,1,3,1213117
360 手机N7 Lite,1.20-1.26,131,1,4,1213117
360 手机N7 Lite,1.27-1.31,76,1,5,1213117
360 手机N7 Lite,2.1-2.2,29,2,5,1213117
360 手机N7 Lite,2.3-2.9,88,2,6,1213117
360 手机N7 Lite,2.10-2.16,68,2,7,1213117
360 手机N7 Lite,2.17-2.23,71,2,8,1213117
360 手机N7 Lite,2.24-2.29,67,2,9,1213117
360 手机N7 Lite,3.1-3.5,64,3,10,1213117
360 手机N7 Lite,3.6-3.12,101,3,11,1213117
360 手机N7 Lite,3.13-3.19,97,3,12,1213117
360 手机N7 Lite,3.20-3.26,90,3,13,1213117
360 手机N7 Lite,3.27-3.31,67,3,14,1213117
360 手机N7 Lite,4.1-4.2,38,4,14,1213117
360 手机N7 Lite,4.3-4.9,119,4,15,1213117
360 手机N7 Lite,4.10-4.16,131,4,16,1213117
360 手机N7 Lite,4.17-4.23,130,4,17,1213117
360 手机N7 Lite,4.24-4.30,106,4,18,1213117
360 手机N7 Lite,5.1-5.7,124,5,19,1213117
360 手机N7 Lite,5.8-5.14,170,5,20,1213117
360 手机N7 Lite,5.15-5.21,161,5,21,1213117
360 手机N7 Lite,5.22-5.28,138,5,22,1213117
360 手机N7 Lite,5.29-5.31,66,5,23,1213117
360 手机N7 Lite,6.1-6.4,90,6,23,1213117
360 手机N7 Lite,6.5-6.11,122,6,24,1213117
360 手机N7 Lite,6.12-6.18,224,6,25,1213117
360 手机N7 Lite,6.19-6.25,105,6,26,1213117
360 手机N7 Lite,6.26-6.30,91,6,27,1213117
360 手机N7 Lite,7.1-7.2,45,7,27,1213117
360 手机N7 Lite,7.3-7.9,123,7,28,1213117
360 手机N7 Lite,7.10-7.16,142,7,29,1213117
360 手机N7 Lite,7.17-7.23,135,7,30,1213117
360 手机N7 Lite,7.24-7.30,125,7,31,1213117
360 手机N7 Lite,7.31-7.31,18,7,32,1213117
360 手机N7 Lite,8.1-8.6,101,8,32,1213117
360 手机N7 Lite,8.7-8.13,112,8,33,1213117
360 手机N7 Lite,8.14-8.20,138,8,34,1213117
360 手机N7 Lite,8.21-8.27,105,8,35,1213117
360 手机N7 Lite,8.28-8.31,62,8,36,1213117
360 手机N7 Lite,9.1-9.3,73,9,36,1213117
360 手机N7 Lite,9.4-9.10,290,9,37,1213117
360 手机N7 Lite,9.11-9.17,248,9,38,1213117
360 手机N7 Lite,9.18-9.24,273,9,39,1213117
360 手机N7 Lite,9.25-9.30,193,9,40,1213117
360 手机N7 Lite,10.1,19,10,40,1213117
360 手机N7 Lite,10.2-10.8,157,10,41,1213117
360 手机N7 Lite,10.9-10.15,149,10,42,1213117
360 手机N7 Lite,10.16-10.22,113,10,43,1213117
360 手机N7 Pro,1.1-1.5,1189,1,1,1213119
360 手机N7 Pro,1.6-1.12,1401,1,2,1213119
360 手机N7 Pro,1.13-1.19,9331,1,3,1213119
360 手机N7 Pro,1.20-1.26,9567,1,4,1213119
360 手机N7 Pro,1.27-1.31,5855,1,5,1213119
360 手机N7 Pro,2.1-2.2,3087,2,5,1213119
360 手机N7 Pro,2.3-2.9,11591,2,6,1213119
360 手机N7 Pro,2.10-2.16,6090,2,7,1213119
360 手机N7 Pro,2.17-2.23,6745,2,8,1213119
360 手机N7 Pro,2.24-2.29,6608,2,9,1213119
360 手机N7 Pro,3.1-3.5,4774,3,10,1213119
360 手机N7 Pro,3.6-3.12,6843,3,11,1213119
